val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Emissions protocol,Gases included (CDP),Methodology details (CDP),Increase/Decrease from last year (CDP),Reason for increase/decrease in emissions (CDP),Scope-2 (CDP) [tCO2-eq],Total emissions (CDP) [tCO2-eq],CDP2016 data edited (CDP),Emissions Quality Flag (CDP),S1 lower bound [tCO2] (CDP),S1 upper bound [tCO2] (CDP),S1 mean (CDP) [tCO2],TOT lower bound [tCO2] (CDP),TOT upper bound [tCO2] (CDP),TOT mean (CDP) [tCO2],Scope fraction (CDP),CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Latitude (others) [degrees],Longitude (others) [degrees],Coordinate source (others),Country,Region,Population (CDP),Population year (CDP),Population (carbonn),Population year (carbonn),Urban population (PKU),Population (GEA),Population (UITP),Population (WB),Population year (WB),Population (others),Population year (others),Population source (others),Population 1950 (WB),Population 1990 (WB),Population 2010 (WB),Population growth rate 1950-2010 (WB) [people/60years],Population growth rate 1990-2010 (WB) [people/20years],Ancillary from GEA+,City area (CDP) [km2],City area (GEA) [km2],City area (WB) [km2],Built-up area (PKU) [km2],City area (others) [km2],City area source year (others),City area source (others),Population density (GEA) [people/km2],Population density (UITP) [people/km2],Population density (WB) [people/km2],Population/sqrt(area) (GEA) [people/km],Population/sqrt(area) (WB) [people/km],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Weather station ID (GEA+),CDD 23C (GEA+) [degrees C × days],HDD 15.5C (GEA+) [degrees C × days],HDD 15.5C (clim) [degrees C × days],CDD 23C (clim) [degrees C × days],GDP (CDP) [multiple units],GDP unit (CDP),GDP year (CDP),GDP source (CDP),GDP (carbonn) [multiple units],nGDP (carbonn) [multiple units],GDP unit (carbonn),GDP year (carbonn),GDP (PKU) [10000 RMB],Income per capita (PKU) [RMB/capita],GDP-PPP (others) [$BN],GDP-PPP/capita (others) [USD/capita],GDP-PPP source (others),GDP-PPP year (others),nGDP (others) [$BN],nGDP/capita (others) [USD/capita],nGDP source (others),nGDP year (others),GDP-PPP/capita (GEA) [USD/year],GDP-PPP/capita (UITP) [USD/year],GDP-PPP/capita (WB) [USD/year],Total final consumption per capita (GEA) [GJ/capita/yr],Energy per capita CO2 (WB) [tCO2-eq/capita/yr],Diesel price (GEA+) [USD/liter],Gasoline price (GEA+) [USD/liter],Center of commerce index (GEA+) [dimensionless],Household size (GEA+) [people/household],Household size year (GEA+),Household source (GEA+),Household size comment (GEA+),Urbanization ratio (GEA+) [percent],Water bounded (GEA+),Other bounded (GEA+),Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Mean one-way travel time source (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Household size (others) [people/household],Household size year (others),Household size source (others),Household size comment (others),Congestion rank (INRIX) [dimensionless],Peak hours spent in congestion (INRIX) [hours],INRIX congestion index (INRIX) [dimensionless],Average congestion rate (INRIX) [percent],Congestion rank (TomTom) [dimensionless],Congestion level (TomTom) [× 100 percent],Congestion change (TomTom) [× 100 percent],Morning peak (TomTom) [percent],Evening peak (TomTom) [percent],Economy (IESE) [dimensionless],Environment (IESE) [dimensionless],Governance (IESE) [dimensionless],Human capital (IESE) [dimensionless],International impact (IESE) [dimensionless],Mobility and transportation (IESE) [dimensionless],Public management (IESE) [dimensionless],Social cohesion (IESE) [dimensionless],Technology (IESE) [dimensionless],Urban planning (IESE) [dimensionless],CIMI (IESE) [dimensionless],CIMI ranking (IESE) [dimensionless],CIMI performance (IESE) [dimensionless],Urban area name (UEX),Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Year from CIA (others),AQF (CDP/GEA),AQF (CDP/WB),AQF (CDP/OTHERS),AQF (PKU/GEA),AQF (PKU/WB),AQF (PKU/OTHERS),PQF (CDP),PQF (carbonn),PQF (WB),PQF (WB2010),PQF (OTHERS),HQF (GEA+),HQF (OTHERS)
85,Ekurhuleni,,Ekurhuleni Metropolitan Municipality,,Ekurhuleni ,,,,Independent municipality,,,,19330397,carbonn,tCO2-eq,2014,Community,,,,,,,,,,,,,,,,,,26.223,28.167,carbonn,South Africa,Africa,,,3178470,2011,,2761253,,,,3178470,2011,Wikipedia,,,,,,1,,1975,,,1975,2011,Wikipedia,1398.10278481013,,,62133.0468339137,,,,FAJS,114,668,208,1203,,,,,25980000000,30306916704.4094,USD,2014,,,,,,,,,,,8737.34793273033,,,61,,0.95,0.87,,3.2,2007,http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp,,59.256,0,,,,,1.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,see: Johannesburg Urban Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,
86,"Emeryville, CA","City of Emeryville, CA",,,,,,Administrative boundary of a local government,,,,2016,127138,CDP,tCO2-eq,2014,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,,Decreased,,40590,167728,,A,116582.676808608,121899.809376068,119241.243092338,157172.676808608,162489.809376068,159831.243092338,1,,"(37.831316, -122.285247)",37.831,-122.285278,"https://en.wikipedia.org/wiki/Emeryville,_California",USA,North America,10570,2014,,,,,,,,11671,2016,https://www.census.gov/quickfacts/fact/table/emeryvillecitycalifornia/PST045216,,,,,,,5.2,,,,3.2374875,2010,https://www.census.gov/quickfacts/fact/table/emeryvillecitycalifornia/PST045216,,,,,,7,15.1,,,,186,135,,USD     US Dollar,,,,,,,,,,,,2008,,,[20],,,,,,,,,,,,,,,,,28.7,(2011-2015),,0.97,0.86,1.74,2011-2015,https://www.census.gov/quickfacts/fact/table/emeryvillecitycalifornia/PST045216,,,,,,,,,,,,,,,,,,,,,,,,see: San Francisco Bay Urban Area,,,,,,,,,,,,,,,,,,,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,1,,1
87,Eugene,City of Eugene,,,,,,Administrative boundary of a local government,,,,2016,1106250,CDP,tCO2-eq,2015,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,Used the community GHG accounting tool available from ICLEI at the time (2006/2007),Decreased,"Reductions in vehicle miles travelled, reduced manufacturing locally, warmer winters.",137500,1250000,,A,955269.932515936,1031324.54678976,993297.239652846,1099019.93251594,1175074.54678976,1137047.23965285,0.995,,"(44.0519, -123.0867)",44.052,-123.086667,"https://en.wikipedia.org/wiki/Eugene,_Oregon",USA,North America,151190,2013,,,,,,,,166575,2016,https://www.census.gov/quickfacts/fact/table/eugenecityoregon/PST045216,,,,,,,113,,,,113.2343628,2010,https://www.census.gov/quickfacts/fact/table/eugenecityoregon/PST045216,,,,,,130,11.2,,,,1425,34,,,,,,,,,,,,,,2008,13.673,,[20],,,,,,,,,,,,,,,,,17.7,(2011-2015),,0.97,0.86,2.32,2011-2015,https://www.census.gov/quickfacts/fact/table/eugenecityoregon/PST045216,,900,8,1.5,3.3%,,,,,,,,,,,,,,,,,,,City of Eugene Urban Area,88.8125,94.875,99.875,155.3125,162.8125,169.125,0.363799283154122,0.368178510793112,0.371282527881041,0.636200716845878,0.631821489206888,0.628717472118959,434.240446626886,969.75551773087,186.704490869245,1330.33950428006,177.129589052803,1453.62140121547,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,1,,1
88,Faro,Faro,,,,,,Administrative boundary of a local government,,,,2016,128,CDP,tCO2,2010,Other,CO2,Irradiare Science of evolution,Stayed the same,The data was collected in 2010,138,265.85,,A,,,,,,,1.00056422794809,,"(37.019355, -7.93044)",37.033,-7.916667,"https://en.wikipedia.org/wiki/Faro,_Portugal",Portugal,Europe,61214,2014,,,,,,,,64560,2011,"https://en.wikipedia.org/wiki/Faro,_Portugal#cite_note-censos_2011-1",,,,,,,202.57,,,,202.57,,"https://en.wikipedia.org/wiki/Faro,_Portugal",,,,,,200,17.8,,,,153,125,13231,EUR     Euro,2013,INE(2013) Estudo do poder de compra,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,18.91,2011,,1.64,1.89,2.4,2011,eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en],,,,,,,,,,,,,,,,,,,,,,,,Faro Urban Area,27.8125,30.5,32.375,14.5625,17.375,18.875,0.656342182890855,0.637075718015666,0.631707317073171,0.343657817109145,0.362924281984334,0.368292682926829,308.367908207386,2026.31798543515,191.964052767978,2483.41872997078,223.364553196751,2662.66486103329,0,1,0,0.0311275785,0.0361368851,0.0361368851,,,,1,,,,1,,,,1,,1
89,Ferrara,Comune di Ferrara,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2007,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,"The Baseline Emissions Inventory (BEI) was created according to the methodological instrument made available by Emilia-Romagna Region, with the technical-scientific support of the ARPA (Regional Agency for the Prevention and the Environment) within the Climate Plans regional work group, in which the Municipality of Ferrara participates. The cognitive foundation for producing the inventory is represented by the regional inventory of greenhouse gas emissions, created by the Emilia-Romagna Region and ARPA Emilia-Romagna, according to the standard methods of estimation recognised on an international level (IPCC, CORINAIR). To construct this regional inventory, the INEMAR software was used (INventario EMissioni ARia: Air Emissions Inventory), which consists of an application system created to estimate the emissions of various pollutants, for various types of activity (e.g.: heating, traffic, agriculture and industry) and by type of fuel, according to the international classification adopted in the field of EMEP-CORINAIR inventories. As envisaged by the Intergovernmental Panel on Climate Change (IPCC) Guidelines, in order to calculate emissions, the “bottom‐up” method was used, based on the sector end-use of fuels. In those cases where it was not possible to obtain accurate data, particularly concerning territorial data, a ""top-down"" approach was used, resorting to statistical processing of data aggregated at a provincial level. The overall picture of emissions of the Terre Estensi Association was built from the emissions inventory of the individual Municipalities of Ferrara, Masi Torello and Voghiera that constitute the Association, making the sum of the contributions of the three Municipalities. In line with the agreements within the Regional Work Group on Climate Plans, the year 2007 was chosen as a baseline reference year. The classification of the sources was created in accordance with the Cartesio Guidelines, which correspond with the ICLEI Protocol and ISO 14064.",Decreased,Measures foreseen in the SEAP has been properly implemented.,,1582605.13,,D,,,,1526258.50723511,1540164.94774029,1533211.7274877,,,"(44.8357395, 11.6189949)",44.833,11.616667,https://en.wikipedia.org/wiki/Ferrara,Italy,Europe,133155,2015,,,,,,,,132499,2017,https://it.wikipedia.org/wiki/Ferrara#cite_note-template_divisione_amministrativa-abitanti-1,,,,,,,404,,,,404.38,,https://it.wikipedia.org/wiki/Ferrara,,,,,,9,15.5,,,,1724,79,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,2.01,2.14,2,2013,eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en],,970,6,1.2,2.9%,,,,,,,,,,,,,,,,,,,Comune di Ferrara Urban Area,36,45,54.4375,35.75,39.5625,49.125,0.501742160278746,0.532150776053215,0.525648762824381,0.498257839721254,0.467849223946785,0.474351237175619,401.272808050536,4444.32836532181,274.371216393241,2717.1168437554,204.733466405342,1980.04527205062,68000000,7800000000,0.01,0.0113831309,0.0151458624,0.0151130591,,,,1,,,,0,,,,0,,1
90,Flagstaff,City of Flagstaff,,,,,,Administrative boundary of a local government,,,,2016,621293.07,CDP,tCO2,2014,Other,CO2,Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation),Stayed the same,"City is growing at very slow rate, so emissions have not changed considerably over past three years of measuring.",590324.4,1211617.47,,A,,,,,,,1,,"(35.1992, -111.6311)",35.199,-111.631111,"https://en.wikipedia.org/wiki/Flagstaff,_Arizona",USA,North America,68667,2013,,,,,,,,71459,2016,https://www.census.gov/quickfacts/fact/table/flagstaffcityarizona/PST045216,,,,,,,165,,,,165.4226613,2010,https://www.census.gov/quickfacts/fact/table/flagstaffcityarizona/PST045216,,,,,,2134,6.5,,,,844,320,4801000000,USD     US Dollar,2010,U.S. Department of Commerce,,,,,,,,,,2008,5.267,,[20],,,,,,,,,,,,,,,,,15.9,(2011-2015),,0.97,0.86,2.52,2011-2015,https://www.census.gov/quickfacts/fact/table/flagstaffcityarizona/PST045216,,,,,,,,,,,,,,,,,,,,,,,,City of Flagstaff Urban Area,16.75,18.25,19.375,6.75,7.4375,8.1875,0.712765957446808,0.710462287104623,0.702947845804989,0.287234042553192,0.289537712895377,0.297052154195011,463.802774416068,1820.13098900561,1177.20041864814,1642.89484637124,1586.89584834278,1770.0200790449,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,1,,1
91,Florianópolis,Prefeitura de Florianópolis,,,,,,A metropolitan area,,,,2016,1305206,CDP,tCO2-eq,2013,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O; HFCs; PFCs; SF6,IDOM / COBRAPE / BID /PMF (2014),Increased,"A diferença de emissões entre os anos é de 601.421 tCO2e, ou seja, houve um acréscimo de 42% em 2013 se comparado à 2010. Os setores de maior contribuição foram AFOLU, que deixou de sequestrar 6% e Transportes que passou a emitir 3% a mais.",145259,1450465,,A,1046811.7023,1072352.72396,1059582.21313,1192070.7023,1217611.72396,1204841.21313,1,,"(-27.5949884, -48.5481743)",-27.572,-48.6256,https://en.wikipedia.org/wiki/Florian%C3%B3polis,Brazil,Latin America & Caribbean,550000,2010,,,,,,,,469690,2015,https://en.wikipedia.org/wiki/Florian%C3%B3polis#cite_note-1,,,,,,,438,,,,675.409,2015,(estimate) https://pt.wikipedia.org/wiki/Florian%C3%B3polis#cite_note-IBGE_Pop_2015-8,,,,,,3,20,,,,7,1,8787850000,USD     US Dollar,2013,IBGE,,,,,,,,,,2008,13,12845.8498023715,[19],,,,,,,,,,,,,,,,,,,,1.02,1.27,2.83390872033479,2010,http://cod.ibge.gov.br/ILJT   (population est 2016 477.798) 2010 census,,,,,,,,,,,,,,,,,,,,,,,,Prefeitura de Florianópolis Urban Area,92.3125,92.8125,92.3125,124.125,138.0625,152.5,0.426508807392434,0.402003248511099,0.377074291549655,0.573491192607566,0.597996751488901,0.622925708450345,1091.66248301378,5236.0573127676,425.382595184072,3782.90059491011,495.256118421597,4742.7008074865,11700000000,17030000000,0.69,0.0151203426,0.0204194776,0.0167788505,,,,1,,,,1,,,,1,,1
92,Fort Collins,,City of Fort Collins,,Fort Collins,,,,Municipality,,,,2055587,carbonn,tCO2-eq,2016,Community,,,,,,,,,,,,,,,,,,40.58526,-105.084,carbonn,USA,North America,,,164207,2016,,304945.170963323,,,,143986,2010,Wikipedia,,,,,,1,,,,,147.77,2010,Wikipedia,342,,,,,,,KFNL,209,3000,1341,42,,,,,,9683508064.61925,,,,,,,,,,,,,37967.5201202179,,,124.506054646736,,0.78,0.56,,,,,,80.731,,,,,,0.97,0.86,2.48,2012-2016,"https://www.census.gov/quickfacts/fact/table/fortcollinscitycolorado,chicagocityillinois,austellcitygeorgia,US#viewtop",,,,,,,,,,,,,,,,,,,,,,,,Fort Collins Urban Area,39.0625,37.6875,35.8125,70.0625,78.625,83.6875,0.357961053837343,0.324019344438474,0.299686192468619,0.642038946162658,0.675980655561526,0.700313807531381,1056.41272716938,6539.0677825297,343.695063014356,1432.61912156099,278.256289129222,1812.42409761812,,,,,,,,,,,,,,,1,,,0,,1
93,Fushun,,,Fushun,,,,,,,,,1495948.86969,PKU,tCO2,2010,Other,,,,,,,,,,,,,,,,0.976612,,41.8666666667,123.9,wikipedia,China,East Asia,,,,,1531774,,,,,1410000,,"wikipedia, urban values",,,,,,,,,,142.3,1416,,"(urban), from wikipedia",,,,,,,,,,,3671,73,,,,,,,,,6631375,36060.07,,,,2008,10,7524.45447705,[19],,,,,,,,,,,,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,see: Shenyang Urban Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
94,Fuxin,,,Fuxin,,,,,,,,,381202.916456,PKU,tCO2,2010,Other,,,,,,,,,,,,,,,,0.399284933976,,41.0166666667,121.65,wikipedia,China,East Asia,,,,,954714,,,,,669317,,"wikipedia, urban values",,,,,,,,,,79.1,459,,"(urban), from wikipedia",,,,,,,,,,,3139,132,,,,,,,,,1991737,26098.08,,,,2008,,,,,,,,,,,,,,,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuxin Urban Area,90.4375,107.5625,118,112.3125,134.25,175.75,0.446054254007398,0.444817782372706,0.401702127659574,0.553945745992602,0.555182217627294,0.598297872340426,499.170664625268,6401.3046340174,1120.97257933841,6038.45527063579,772.110256960187,4348.35602306404,,,,,,,,,,,,,0,,,,,,,
95,Fuzhou,,,Fuzhou,Fuzhou      ,,,,,,,,7188866.09081,PKU,tCO2,2010,Other,,,,,,,,,,,,,,,,1.63083987001,,26.0761111111,119.306388889,wikipedia,China,East Asia,,,,,4408076,6227300,,,,4468076,,"wikipedia, urban values",,,,,,1,,12177,,518.1,,,"(urban), from wikipedia",511.398538227806,,,56432.5448398884,,,,ZSFZ,665,486,705,322,,,,,,,,,15435522,38012.8,0.00163083987001,,[1],2014,23.4,8068.96551724,[3],,7745.57715094846,,,37.8831415730852,,1.01,0.99,,3.22,2003,http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf,"For ""Fujian""",42.522,1,,,,,1.09,1.17,,,,,,,,,31,0.39,0.02,60%,76%,,,,,,,,,,,,,,Fuzhou Urban Area,268.6875,272.0625,282.125,525.1875,556.5625,588.75,0.338450637694851,0.328330064866496,0.323955791588919,0.661549362305149,0.671669935133504,0.676044208411081,1647.64920925085,15032.4919840922,513.104267895391,6167.95071409933,513.103605588615,6704.00929291517,,,,,,,,,,,0,,,,,,,,1,
96,Gandhinagar,,Gandhinagar Municipal Corporation,,,,,,Municipality,,,,5424749,carbonn,tCO2-eq,2011,Community,,,,,,,,,,,,,,,,,,23.22,72.68,carbonn,India,South Asia,,,208299,2011,,,,,,292167,2011,Wikipedia,,,,,,,,,,,177,2011,Wikipedia,,,,,,,,,,,0,1510,,,,,,408715911.832607,,,,,,,,,0.408715911832607,,"carbonn, scaled to $BN USD",,,,,,,,,,,,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,see: Ahmedabad Urban Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
97,Genova,Comune di Genova,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2011,Other,CO2,The data that have been monitored by MEI 2011 and reported on SEAP,Other,Is not possible a comparison because the categories are quantified differently,,1810370,,D,,,,,,,,,"(44.347961, 9.318415)",44.407,8.933983,https://it.wikipedia.org/wiki/Genova,Italy,Europe,592995,2014,,,,,,,,583973,2016,https://it.wikipedia.org/wiki/Genova#cite_note-template_divisione_amministrativa-abitanti-1,,,,,,,1118,,,,240.29,,https://it.wikipedia.org/wiki/Genova,,,,,,19,15,,,,942,44,25977591566,,2015,www.ilsole24h.com,,,,,,,,,,2008,29.22339,41060.5228216351,[24],2012,,,,,,,,,,,,,,,,,,,2.01,2.14,2,2013,eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en],,,,,,,,,,,,,,,,,,,,,,,,Comune di Genova Urban Area,47.25,48.5625,51.4375,71,72.0625,71.6875,0.399577167019027,0.40259067357513,0.417766497461929,0.600422832980973,0.59740932642487,0.582233502538071,308.697513522037,3207.75166704938,766.446974518446,8678.53687052797,741.706692142337,8062.6687782241,68000000,7800000000,0.01,0.0113831309,0.0151458624,0.0151130591,,,,0,,,,1,,,,0,,1
98,Gladsaxe Kommune,Gladsaxe Kommune,,,,,,A metropolitan area,,,,2017,247599,CDP,tCO2-eq,2015,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,,Decreased,"Energy saving plans, projects and goals. Expansion of district heating which provide Citizens and Companies with eco-friendly heating.",83684,331283,Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).,A,223915.415520917,227453.14055417,225684.278037544,307599.415520917,311137.14055417,309368.278037544,1,,"(55.733461, 12.488686)",55.733,12.483333,https://en.wikipedia.org/wiki/Gladsaxe_Municipality,Denmark,Europe,67347,2015,,,,,,,,66693,2014,https://en.wikipedia.org/wiki/Gladsaxe_Municipality,,,,,,,24.9,,,,25,,https://en.wikipedia.org/wiki/Gladsaxe_Municipality,,,,,,,,,,,2481,0,35234000,DKK     Danish Krone,2014,Statistic Denmark,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,1.8,2.01,2.17959183673469,2017,http://www.statistikbanken.dk/statbank5a/SelectVarVal/saveselections.asp,,,,,,,,,,,,,,,,,,,,,,,,see: Copenhagen Urban Area,,,,,,,,,,,,,,,,,,,4517000000,6412000000,0.7,0.0106834006,0.01703133,0.0125594652,,,,1,,,,1,,,,1,,1
99,Goiânia,City of Goiânia,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2010,Other,,"The Protocol for Global Community - Scale GHG Emissions (GPC 2012) was used as standard for the categorization and allocation of emissions and aggregation of results. The GPC consists of a compilation of guidelines for the preparation of municipal inventories of GHG emissions. The GPC 2012 shares the terminology of various international programs reporting of emissions, including the C40 Cities Climate Leadership Group, the International Local Government GHG Emissions Analysis Protocol (IEAP-ICLEI) and the GHG Protocol Corporate Accounting and Reporting Standard. Moreover, GPC 2012 converses directly with the IPCC 2006 Guidelines for National GHG Inventories. Aiming at a broad identification of emission sources and the establishment of a flow of information necessary for the completion of this study, four teams were created themes, being: stationary units, mobile units, and waste, industrial processes and product uses. The teams were grouped in four thematic workshops held between 26 and 27 June 2012 at the Administrative Center of the city of Goiania. During the implementation of these workshops were identified institutions and those responsible for sending the information necessary for calculations of emissions of greenhouse gases in the municipality.
For calculations of GHG emissions used the IPCC Inventory Software (IIS) version 2.0, a software developed and provided by the Intergovernmental Panel on Climate Change (IPCC). The data were placed on the software as a correspondence between GPC and IPCC categories, except in the case of the activities of electricity consumption (scope 2 emissions, the GPC category that has no corresponding IPCC - these emissions have been included in Section 5 – other). Another category that deserves observation refers to the disposal of solid waste in landfills. For this category we used the GPC, which allocates all expected emissions inventory in the year in which the waste is landfilled, IIS was not used for the calculation of this emission source.",,,,2016320,,D,,,,995361.377276226,1096278.17973302,1045819.77850462,,,"(-16.6868912, -49.2647943)",-16.667,-49.25,https://en.wikipedia.org/wiki/Goi%C3%A2nia,Brazil,Latin America & Caribbean,2173141,2010,,,,,,,,2458504,2016,(Metro) https://en.wikipedia.org/wiki/Goi%C3%A2nia,,,,,,,739,,,,739,2016,(Metro) https://en.wikipedia.org/wiki/Goi%C3%A2nia,,,,,,749,23.2,,,,0,61,30131330,BRL     Brazilian Real,2010,IBGE - Brazilian Institute of Geography and Statistical,,,,,,,,,,2008,23,10584.4454670962,[19],,,,,,,,,,,,,,,,,,,,1.02,1.27,3.07229542712498,2010,"http://cod.ibge.gov.br/21UXA    (population est 2016 1.448.639, BUT CDP ESTIMATES 2,173,141 (Metro area)) 2010 census",,,,,,,,,,,,,,,,,,,,,,,,City of Goiânia Urban Area,178.875,179.5625,189.625,299.625,356.125,423.75,0.373824451410658,0.335200093338,0.309150193600978,0.626175548589342,0.664799906662,0.690849806399022,802.558362836027,6190.48440100835,575.864769854766,4097.98930508005,502.04524542291,4870.12065357107,11700000000,17030000000,0.69,0.0151203426,0.0204194776,0.0167788505,,,,1,,,,1,,,,0,,1
100,Graz,,City of Graz,,,Graz,,,Independent municipality,,,,1218740,carbonn,tCO2-eq,1994,Community,,,,,,,,,,,,,,,,,,47.0667,15.4333,carbonn,Austria,Europe,,,269997,2014,,,240066,,,280200,2016,Wikipedia,,,,,,1,,,,,127.56,2016,Wikipedia,,3729,,,,,,LOWG,,,2822,8,,,,,19522,22917.3806692355,USD,2012,,,,,,,135.28783,52806.9970686162,[24],2013,,31611.89,,,,0.94,0.74,,,,austria,,66.534,0,Mountains,,,,1.55,1.6,2,2013,http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en,,291,23,4.4,9.4%,- ,0.29,0.03,44%,45%,,,,,,,,,,,,,,Graz Urban Area,52.75,53.25,54.6875,91.1875,103.3125,109.9375,0.366478506296135,0.340119760479042,0.332194381169324,0.633521493703865,0.659880239520958,0.667805618830676,264.721650708318,2970.0662208513,259.658695146686,2377.09021399487,279.89298433968,2753.90035989055,,,,,,,,,,,,,,,0,,,0,,0
